EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
77,33,36,115,82,52,39,54,1002,12014,3460,-10541,45,91,235,-2026,-375,-355
78,33,36,145,87,47,39,57,1002,12014,3460,-10541,45,91,235,-2026,-375,-355
71,32,35,155,88,46,43,53,1022,12035,3422,-10527,53,82,245,-2033,-347,-376
64,37,41,154,79,53,41,53,1047,12055,3384,-10515,28,70,245,-2020,-305,-362
68,36,41,154,75,49,35,55,1067,12074,3344,-10504,58,81,237,-2042,-302,-346
80,32,40,150,71,45,39,46,1089,12091,3307,-10494,44,73,227,-2045,-286,-340
75,35,38,117,103,51,43,42,1118,12110,3273,-10480,2,59,222,-2054,-234,-408
82,34,39,111,109,51,43,44,1159,12127,3248,-10462,-76,41,219,-2050,-215,-441
81,28,33,136,110,56,51,46,1190,12141,3227,-10450,-58,32,211,-2053,-284,-412
85,29,34,143,110,57,52,46,1211,12152,3199,-10444,13,23,198,-2053,-286,-387
90,29,30,135,107,56,47,50,1228,12163,3167,-10439,46,20,188,-2058,-254,-387
108,27,30,140,74,50,45,53,1253,12173,3134,-10433,26,10,178,-2080,-160,-397
118,32,31,136,62,48,42,49,1287,12180,3109,-10428,-46,1,162,-2056,-131,-366
127,32,30,118,44,32,41,48,1326,12182,3098,-10424,-117,-20,136,-2066,-156,-372
127,33,26,108,42,30,40,51,1356,12183,3092,-10421,-105,-14,125,-2069,-229,-365
131,32,27,114,41,32,47,53,1373,12184,3087,-10419,-60,-10,117,-2040,-305,-372
126,32,28,109,38,35,45,52,1397,12190,3074,-10414,-47,-6,105,-2059,-160,-403
121,28,26,112,34,33,46,52,1444,12192,3066,-10407,-159,-26,102,-2070,-39,-390
121,47,30,98,35,33,40,48,1506,12185,3078,-10402,-293,-49,77,-2092,-48,-356
120,95,30,98,36,32,42,46,1553,12170,3107,-10405,-312,-59,55,-2033,-268,-282
109,98,34,88,32,26,34,37,1568,12165,3121,-10403,-122,-20,8,-2067,-241,-376
98,102,35,68,32,23,33,37,1594,12165,3122,-10400,-96,-33,8,-2078,-57,-407
97,104,34,47,31,24,36,40,1623,12159,3141,-10396,-188,-61,-7,-2034,-145,-425
102,103,30,42,27,24,34,41,1646,12151,3161,-10396,-171,-66,-18,-2042,-190,-414
150,73,32,39,25,26,32,45,1660,12143,3176,-10398,-114,-50,-20,-2059,-209,-373
149,70,31,66,27,25,31,48,1676,12133,3189,-10404,-112,-51,-21,-2050,-189,-331
156,66,32,68,23,27,34,53,1696,12122,3217,-10405,-192,-61,-28,-2030,-256,-373
153,70,37,75,26,27,31,52,1702,12114,3237,-10407,-107,-36,-13,-2019,-304,-362
157,70,38,79,29,30,33,57,1721,12109,3245,-10407,-104,-43,0,-2072,-159,-375
124,58,38,83,30,29,31,53,1763,12099,3267,-10406,-248,-72,-7,-2072,-95,-373
122,95,43,61,34,32,31,50,1821,12084,3304,-10401,-376,-105,-27,-2084,-79,-410
124,116,69,132,40,34,29,41,1878,12063,3356,-10398,-434,-123,-32,-2043,-194,-402
135,115,69,193,48,38,32,50,1928,12043,3397,-10398,-360,-124,-36,-2049,-145,-389
143,111,71,199,67,42,37,49,1987,12017,3448,-10401,-433,-150,-54,-2063,-154,-375
135,112,72,214,69,48,40,52,2030,11989,3505,-10406,-398,-148,-64,-2028,-281,-362
134,85,68,219,70,50,39,53,2054,11966,3549,-10412,-268,-129,-89,-2072,-274,-382
131,55,44,189,69,49,39,62,2069,11945,3581,-10423,-182,-119,-76,-2032,-258,-335
119,49,40,161,66,47,42,57,2079,11924,3608,-10436,-142,-118,-84,-2068,-242,-315
95,46,40,173,56,57,43,55,2115,11896,3642,-10449,-266,-170,-77,-2079,-166,-328
93,44,40,193,63,56,44,53,2148,11867,3684,-10461,-298,-175,-65,-2052,-261,-333
97,42,38,190,63,57,49,57,2171,11836,3725,-10476,-253,-165,-59,-2019,-347,-289
87,40,33,191,63,57,50,53,2204,11809,3761,-10487,-269,-181,-61,-2048,-231,-352
82,37,33,163,59,56,46,49,2232,11778,3803,-10500,-277,-180,-54,-2052,-326,-313
72,39,39,203,50,41,42,53,2247,11752,3833,-10515,-177,-156,-61,-2057,-312,-301
89,39,40,180,44,38,45,58,2265,11731,3855,-10527,-151,-155,-55,-2060,-240,-328
91,35,43,184,44,37,43,58,2282,11702,3883,-10545,-173,-188,-62,-2049,-291,-299
96,36,43,185,41,38,42,55,2290,11678,3894,-10566,-65,-171,-64,-2043,-225,-257
98,35,43,187,45,40,45,65,2285,11647,3912,-10594,-43,-165,-71,-2037,-385,-193
102,32,35,136,44,41,46,59,2261,11626,3916,-10621,89,-132,-94,-2040,-344,-222
89,34,33,141,42,43,45,57,2240,11614,3915,-10639,102,-114,-100,-2035,-245,-289
79,34,32,140,34,40,45,55,2202,11600,3907,-10666,198,-105,-95,-2024,-340,-229
73,29,32,144,41,42,46,55,2142,11585,3885,-10702,338,-89,-89,-1996,-425,-143
79,32,32,141,42,42,47,52,2078,11579,3842,-10737,446,-61,-88,-2030,-275,-134
72,31,32,125,45,43,47,57,2038,11569,3808,-10767,314,-82,-75,-2060,-218,-140
66,29,32,110,44,38,45,54,2003,11561,3798,-10786,191,-87,-72,-2060,-362,-257
71,28,29,146,44,38,45,58,1959,11557,3773,-10807,288,-76,-44,-2018,-347,-237
70,33,32,135,37,35,44,56,1916,11554,3735,-10831,337,-75,-40,-2051,-264,-203
59,32,35,150,37,32,41,53,1888,11546,3707,-10854,237,-85,-36,-2033,-252,-164
51,37,35,149,32,28,34,47,1867,11535,3688,-10876,175,-104,-36,-2049,-274,-175
48,40,39,154,40,36,40,47,1846,11525,3674,-10895,155,-102,-46,-2037,-297,-201
46,45,44,116,41,36,37,39,1816,11516,3655,-10915,204,-91,-51,-2019,-313,-186
56,47,43,139,47,44,43,42,1783,11510,3629,-10936,254,-91,-64,-2056,-253,-194
58,46,44,136,51,48,48,41,1747,11502,3609,-10957,234,-85,-72,-2010,-310,-177
73,52,48,138,52,53,50,47,1691,11494,3583,-10983,338,-62,-81,-2022,-401,-142
74,54,46,122,47,48,44,45,1632,11491,3541,-11009,418,-43,-88,-2022,-290,-115
72,52,44,123,48,50,46,45,1577,11485,3505,-11034,371,-41,-90,-2046,-311,-91
65,48,41,134,43,42,52,47,1522,11479,3473,-11059,353,-28,-66,-2011,-386,-64
91,56,45,142,41,42,52,54,1467,11476,3443,-11078,344,-15,-64,-2012,-401,-107
87,82,47,144,39,37,50,52,1417,11477,3404,-11096,359,-1,-39,-2003,-343,-85
87,155,50,144,38,38,51,56,1373,11477,3366,-11112,329,0,-37,-2041,-307,-79
94,166,50,170,41,39,52,58,1336,11479,3330,-11126,300,-6,-30,-2039,-289,-108
97,167,53,150,54,39,46,54,1301,11484,3306,-11133,242,-2,-34,-2018,-338,-170
82,166,51,169,56,39,45,48,1264,11490,3273,-11140,284,8,-37,-2008,-278,-153
78,158,51,173,58,38,44,48,1227,11496,3237,-11148,297,8,-42,-2061,-261,-150
79,92,50,176,58,36,41,42,1198,11499,3205,-11158,249,4,-49,-2013,-215,-103
70,69,51,173,58,34,36,43,1173,11501,3189,-11163,166,4,-68,-2068,-286,-138
72,93,53,190,48,39,38,45,1152,11502,3174,-11168,151,-16,-76,-2088,-256,-160
73,234,72,189,45,40,45,50,1139,11502,3162,-11173,116,-37,-78,-2047,-210,-179
78,247,78,238,56,46,54,56,1123,11496,3158,-11182,84,-48,-81,-2033,-293,-126
85,250,78,241,55,46,59,63,1111,11487,3156,-11193,63,-50,-103,-2010,-256,-90
102,256,80,234,52,46,60,68,1108,11480,3156,-11200,25,-48,-144,-2042,-128,-113
113,254,82,224,53,45,58,72,1103,11469,3174,-11207,-45,-58,-164,-2048,-244,-117
122,139,64,209,52,43,52,72,1085,11455,3203,-11215,-42,-48,-170,-1982,-415,-93
129,109,54,184,57,49,53,71,1060,11442,3226,-11224,6,-19,-163,-2015,-440,-54
129,98,54,194,65,52,53,66,1041,11429,3245,-11234,-4,-9,-144,-1997,-420,-7
119,84,49,184,66,52,52,59,1024,11420,3266,-11238,-17,2,-142,-2008,-410,-59
108,66,47,178,68,57,59,55,996,11414,3291,-11240,3,25,-124,-1979,-543,-66
115,49,46,174,69,57,72,66,963,11411,3296,-11244,106,43,-114,-2007,-477,-56
112,49,48,163,56,48,66,66,940,11412,3295,-11245,89,41,-95,-2021,-384,-66
113,42,48,224,53,50,72,69,918,11411,3305,-11245,44,36,-66,-2022,-520,-89
