EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
86,28,28,163,48,31,44,57,1728,11154,4652,-10927,4,2,5,-1999,-465,-182
89,28,27,159,48,33,44,59,1728,11154,4652,-10927,4,2,5,-1999,-465,-182
95,27,26,164,43,37,48,59,1729,11154,4652,-10927,2,2,3,-2011,-478,-174
93,28,29,173,45,38,47,59,1729,11154,4652,-10927,2,2,3,-2011,-478,-174
99,30,34,219,46,43,49,62,1729,11154,4652,-10927,4,3,2,-2010,-479,-184
112,29,35,210,48,43,48,58,1729,11154,4652,-10927,-2,4,1,-2004,-479,-187
111,30,38,215,45,43,49,53,1729,11154,4652,-10927,0,4,2,-2006,-486,-189
112,34,40,211,45,42,48,60,1729,11154,4652,-10926,0,5,0,-2004,-487,-184
117,33,36,213,41,46,44,58,1729,11154,4652,-10926,-2,10,1,-1999,-480,-188
108,32,35,198,43,50,53,53,1729,11154,4652,-10927,2,4,2,-2010,-484,-176
96,30,33,193,41,50,53,51,1729,11154,4652,-10927,0,5,3,-2011,-487,-163
107,30,30,188,56,50,56,52,1729,11154,4652,-10927,-2,5,5,-2008,-484,-184
97,25,31,203,63,52,55,48,1729,11154,4652,-10927,0,3,8,-1986,-486,-187
103,25,32,188,70,49,59,53,1729,11154,4652,-10927,0,6,6,-2002,-482,-181
124,23,34,174,70,44,51,65,1729,11154,4651,-10927,-3,8,7,-2007,-486,-179
122,28,37,184,73,45,49,64,1730,11154,4651,-10927,1,11,6,-2011,-473,-187
120,32,41,192,68,47,50,66,1730,11154,4651,-10927,-4,8,8,-2004,-483,-188
124,32,40,171,64,45,50,66,1730,11154,4651,-10926,0,10,7,-2006,-483,-193
115,33,39,173,57,44,44,64,1730,11154,4651,-10926,7,6,8,-2002,-485,-189
95,31,35,188,63,46,53,57,1730,11155,4651,-10926,9,3,10,-2010,-476,-196
112,29,36,178,65,50,57,59,1730,11155,4651,-10926,4,3,9,-2009,-476,-185
105,29,34,163,67,50,56,68,1731,11155,4651,-10926,3,5,10,-2003,-462,-186
104,30,33,163,65,49,53,67,1731,11155,4650,-10926,-3,3,5,-2004,-458,-181
106,32,33,168,65,48,55,67,1731,11155,4650,-10926,-7,3,4,-2011,-470,-176
