EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
43,25,30,117,37,32,38,50,4429,9558,7793,-9835,-11,-1,-6,-1992,-550,-271
44,24,31,118,40,31,39,34,4429,9558,7793,-9835,-11,-1,-6,-1992,-550,-271
43,20,32,117,40,32,38,35,4428,9558,7793,-9835,-11,-2,-4,-1986,-562,-273
37,21,27,114,36,27,33,30,4428,9557,7794,-9835,-2,0,-3,-1987,-567,-281
35,22,28,107,37,28,36,30,4428,9557,7794,-9835,-2,3,0,-1999,-547,-269
35,18,26,100,36,29,31,31,4428,9557,7794,-9836,4,2,3,-1988,-532,-269
35,22,26,92,31,28,30,28,4428,9557,7794,-9836,1,-1,3,-1988,-536,-258
37,24,26,158,29,28,33,31,4428,9557,7793,-9836,-4,2,4,-1998,-529,-263
48,26,31,183,36,31,38,36,4428,9557,7793,-9836,-16,0,4,-1988,-520,-284
50,28,34,190,37,37,47,42,4431,9556,7795,-9834,-18,2,-1,-1990,-521,-271
68,40,45,206,81,77,62,59,4431,9556,7794,-9834,-16,5,-9,-1990,-526,-275
100,63,70,233,97,103,85,88,4430,9556,7795,-9834,8,7,-12,-1998,-551,-281
117,70,73,215,102,108,91,99,4425,9557,7795,-9836,23,10,-18,-1995,-535,-284
114,71,75,214,110,117,94,103,4422,9558,7796,-9836,11,6,-20,-1993,-528,-284
123,74,78,222,112,119,101,108,4421,9557,7796,-9836,-11,2,-13,-1979,-542,-283
123,75,77,230,96,101,97,105,4422,9555,7800,-9835,-20,-2,-9,-1990,-546,-283
179,70,70,243,100,84,95,120,4426,9552,7802,-9835,-31,-8,-1,-1972,-531,-254
183,65,70,228,96,80,92,121,4436,9543,7794,-9845,-11,-33,11,-1985,-513,-147
186,65,69,210,89,68,87,118,4459,9534,7783,-9852,-50,-40,6,-1986,-394,-86
186,65,69,202,86,61,76,119,4507,9522,7801,-9828,-281,-70,-4,-2013,-323,-286
185,96,63,182,75,54,70,118,4559,9502,7858,-9777,-498,-67,11,-1980,-499,-496
132,160,81,121,49,36,44,83,4596,9481,7904,-9743,-389,-48,33,-1881,-609,-379
119,216,128,109,50,32,41,72,4624,9466,7921,-9731,-208,-44,19,-1985,-516,-247
152,231,131,137,163,43,55,89,4672,9441,7962,-9699,-428,-23,37,-2052,-582,-252
166,235,135,212,362,243,109,127,4703,9408,8013,-9674,-423,-23,89,-1938,-890,-266
185,325,183,249,485,365,204,193,4708,9394,8042,-9661,-193,6,114,-1942,-893,-327
187,503,307,293,532,388,211,202,4698,9393,8052,-9659,-37,36,141,-2001,-917,-309
189,506,355,299,538,397,216,207,4650,9408,8020,-9694,332,89,125,-2085,-930,-168
167,516,423,295,522,400,215,208,4580,9454,7950,-9740,622,156,150,-2128,-752,-169
152,535,461,241,419,338,193,186,4509,9515,7871,-9778,672,195,149,-2186,-639,-220
124,498,475,201,270,218,95,120,4445,9600,7809,-9774,514,481,144,-2231,-430,-123
97,324,405,122,161,179,107,128,4365,9711,7699,-9788,879,452,-38,-2353,166,-213
82,310,356,100,139,167,253,185,4264,9814,7565,-9833,1094,462,-299,-2535,509,-14
144,323,288,65,111,173,484,489,4186,9919,7385,-9898,1293,303,-600,-2895,1395,-18
169,305,246,80,82,193,573,649,4109,9959,7339,-9925,675,188,-990,-2852,1084,-393
218,424,230,99,80,189,712,763,3868,10044,7366,-9916,1017,568,-1271,-2891,316,-1215
229,423,246,136,97,201,737,827,3391,10182,7328,-9977,2165,1203,-1259,-3057,-647,-2168
231,421,265,142,100,200,708,842,2759,10410,7197,-10033,3145,1735,-1212,-2564,-842,-2754
197,407,262,139,96,188,584,723,2090,10804,6809,-10048,4236,2358,-101,-1261,571,-2146
173,402,261,130,88,135,506,588,1539,11383,6267,-9860,3981,3330,1539,369,444,-1966
106,271,257,112,83,112,285,431,999,12102,5485,-9534,4475,4219,3028,147,-783,-1775
85,251,260,61,54,81,203,281,265,12900,4386,-9094,6147,5266,3803,-850,-276,-1880
85,232,246,50,46,62,174,187,-325,13653,3290,-8431,5257,5901,3987,-1479,1281,-2446
86,236,235,47,39,53,164,137,-674,14256,2428,-7671,3299,5741,3482,-3391,270,-2872
83,230,213,41,32,40,157,123,-1153,14675,1562,-7022,4027,4969,3064,-4240,-143,-2536
93,193,170,36,27,38,151,118,-1521,14951,895,-6463,3040,3933,2393,-4087,2112,-1453
97,197,145,31,22,31,157,122,-1505,15128,559,-6083,453,2502,1609,-3717,1758,-591
95,224,131,30,22,30,170,125,-1156,15168,365,-6074,-1126,1425,1137,-3295,798,-85
85,193,120,29,24,33,188,119,-731,15218,362,-6015,-2158,681,763,-2561,820,833
108,210,152,38,23,43,379,354,-116,15252,527,-5959,-3582,441,401,-1913,-254,62
103,261,148,39,24,43,398,385,348,15262,698,-5907,-2928,369,193,-1942,-1522,-307
95,246,137,39,26,43,401,391,617,15263,768,-5874,-1690,278,309,-1854,-1385,-297
88,218,124,37,25,42,400,395,674,15220,831,-5969,-851,103,198,-2042,-1081,-366
87,259,130,36,24,41,387,394,699,15153,898,-6126,-602,-173,32,-2116,-914,-152
55,248,83,25,23,26,196,217,718,15064,988,-6326,-510,-437,-199,-2153,-695,-136
49,199,83,23,22,24,146,152,746,14943,1121,-6581,-554,-740,-504,-2375,-473,-174
62,274,108,21,21,24,125,127,883,14768,1324,-6915,-1055,-1339,-859,-2492,27,-276
67,278,106,23,20,24,104,108,1082,14566,1630,-7240,-1609,-1960,-1296,-2391,366,-349
70,248,100,21,19,21,87,89,1377,14286,2060,-7629,-2403,-2518,-1733,-2313,233,-462
77,245,101,21,21,23,51,59,1712,13928,2594,-8048,-2898,-2886,-2197,-1999,126,-461
81,251,107,25,23,23,42,47,2067,13501,3224,-8455,-3302,-3032,-2655,-1827,129,-647
74,181,78,28,22,21,33,36,2454,13002,3938,-8823,-3809,-3075,-2974,-1837,-179,-807
74,198,88,27,23,19,29,30,2789,12452,4680,-9148,-3774,-2971,-3261,-1737,-447,-875
70,195,112,42,23,20,24,29,3031,11881,5406,-9427,-3421,-2721,-3441,-1738,-794,-925
60,200,108,51,22,20,21,21,3169,11306,6075,-9677,-2852,-2505,-3542,-1964,-741,-1025
64,184,101,72,21,19,23,22,3240,10733,6666,-9915,-2345,-2376,-3503,-1943,-410,-809
62,157,102,90,21,20,21,21,3308,10170,7216,-10099,-2303,-2190,-3291,-1816,-442,-764
61,115,95,129,31,41,52,44,3350,9651,7697,-10238,-2028,-1879,-2978,-1668,-510,-603
74,93,68,146,37,49,61,58,3368,9208,8093,-10334,-1696,-1485,-2509,-1490,-712,-346
78,54,80,162,54,55,73,61,3363,8865,8378,-10408,-1190,-1089,-1916,-1523,-993,-116
87,50,91,178,57,58,79,73,3326,8642,8533,-10482,-499,-707,-1322,-1705,-878,-136
91,49,99,191,67,63,87,74,3341,8537,8591,-10515,-227,-513,-618,-1822,-624,-315
88,40,98,199,65,57,76,68,3424,8535,8553,-10522,-24,-378,71,-2183,-458,-343
81,45,95,211,70,61,80,68,3558,8553,8460,-10537,-70,-292,645,-2417,-894,163
79,47,82,208,62,59,80,77,3807,8682,8442,-10358,-819,-49,866,-2730,124,-853
71,45,66,209,70,62,87,78,4047,8812,8249,-10312,-3,-301,1719,-2242,202,151
78,43,52,228,67,64,86,82,4210,8948,8296,-10091,-966,446,1019,-3039,-917,-935
95,45,52,222,70,64,89,92,4271,9113,8202,-9993,158,382,1133,-2670,-969,-689
96,39,49,206,66,60,83,88,4164,9372,7842,-10087,2222,363,1183,-2723,406,-340
99,33,53,213,67,59,78,83,4283,9564,7496,-10120,1206,62,863,-2988,1311,253
90,36,56,224,65,60,72,77,4412,9656,7381,-10062,-42,208,636,-2320,379,134
98,41,55,201,65,66,77,84,4456,9729,7302,-10031,197,96,384,-1863,56,-249
92,40,56,191,69,71,78,80,4425,9829,7223,-10003,531,155,234,-1910,-28,-658
99,40,53,221,74,69,76,80,4427,9904,7169,-9967,268,134,136,-2030,116,-534
98,40,47,226,77,72,75,77,4456,9923,7175,-9930,-153,58,80,-2077,-238,-382
104,37,43,206,72,69,69,73,4468,9917,7203,-9911,-201,48,36,-2002,-569,-265
89,27,36,228,68,59,54,62,4473,9918,7217,-9898,-95,56,22,-2030,-474,-257
80,24,35,225,62,47,44,52,4493,9916,7241,-9873,-213,43,21,-2047,-430,-295
77,25,39,204,55,44,42,47,4503,9907,7270,-9856,-200,47,18,-2024,-569,-264
72,24,41,185,47,40,39,46,4493,9907,7288,-9847,-56,56,8,-2042,-593,-313
63,23,39,201,43,35,40,45,4485,9912,7296,-9840,-7,50,5,-2011,-493,-316
64,26,41,208,54,35,41,48,4475,9920,7299,-9834,28,48,7,-2003,-458,-322
66,27,37,229,51,39,41,45,4471,9927,7299,-9829,10,39,-3,-2005,-395,-295
72,34,49,249,63,47,47,56,4465,9929,7308,-9823,-22,41,-10,-1976,-471,-287
84,37,55,255,75,50,54,64,4460,9930,7318,-9817,-28,46,-32,-1992,-434,-293
91,40,58,247,78,55,62,66,4454,9931,7329,-9810,-31,53,-44,-2037,-436,-296
93,39,56,222,71,58,64,62,4447,9931,7344,-9802,-45,50,-50,-2026,-453,-315
92,39,56,198,72,59,65,65,4439,9930,7359,-9796,-46,45,-48,-2018,-490,-316
87,33,45,156,66,55,64,59,4431,9925,7376,-9791,-55,45,-55,-2014,-502,-289
77,30,36,150,54,52,58,53,4424,9923,7390,-9787,-37,44,-61,-2020,-460,-298
