EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
173,251,134,246,330,276,243,300,4531,5961,10855,-9722,-60,277,-2958,82,-2412,-1018
337,272,222,484,467,406,346,457,4531,5961,10855,-9722,-60,277,-2958,82,-2412,-1018
405,215,304,628,665,540,614,635,4137,5777,10947,-9904,896,551,-2234,157,-2081,-596
421,196,341,700,695,640,758,820,3817,5655,10893,-10160,1477,222,-1181,1239,-434,276
430,189,357,771,688,651,776,908,3681,5679,10780,-10316,1126,202,173,1770,215,425
460,222,432,809,729,651,779,941,3716,5837,10638,-10363,666,233,1432,1125,-288,355
395,210,415,721,655,583,771,927,3916,6151,10458,-10290,317,343,2413,939,-310,545
337,192,374,690,468,481,660,845,4279,6483,10290,-10109,-377,17,3147,320,-605,-44
369,217,343,694,436,348,549,771,4707,6799,10167,-9832,-1053,27,3367,-538,-1158,9
405,223,339,655,443,314,611,754,5124,7097,9954,-9629,-501,-353,3563,-164,-2658,-301
386,196,254,704,374,317,625,719,5552,7505,9532,-9509,654,-560,4036,-517,-4062,2018
389,236,255,770,524,440,678,737,5410,7430,9655,-9526,-121,410,-1059,-5530,-1078,601
392,239,249,814,568,518,635,732,5645,7536,9555,-9405,-477,-311,1591,-2533,3043,-3422
372,222,258,810,587,526,637,696,5524,7663,9567,-9363,384,937,78,-5140,1234,-3290
346,212,241,872,653,587,572,588,5290,8023,9301,-9464,2472,1147,933,-4888,1587,-481
358,205,222,799,627,600,546,586,5174,8070,9250,-9537,800,227,-218,-4317,3500,1955
322,144,185,743,539,559,453,524,5436,7848,9504,-9325,-2614,-464,-330,-3007,96,26
307,235,165,612,496,483,414,501,5343,7599,9750,-9331,-1151,-179,-241,-1613,-3667,-529
269,378,173,527,468,479,337,410,5040,7594,9783,-9468,1142,208,-61,-881,-2935,-1102
251,630,233,317,326,394,315,394,4887,7672,9727,-9543,1018,258,28,-2072,-1445,-744
