EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
83,26,28,81,81,30,47,34,-1548,-12398,-3454,10021,-44,-5,-24,-2048,-208,-489
55,26,26,59,67,27,44,27,-1548,-12398,-3454,10021,-44,-5,-24,-2048,-208,-489
45,26,28,41,52,26,46,21,-1546,-12394,-3458,10024,-8,5,-23,-2065,-264,-451
38,24,26,34,46,28,48,21,-1540,-12392,-3458,10027,20,9,-15,-2059,-266,-452
38,23,28,31,44,29,47,19,-1529,-12393,-3458,10028,39,19,1,-2025,-320,-478
53,24,24,35,40,31,34,23,-1515,-12395,-3453,10029,65,21,24,-2021,-340,-484
55,23,25,51,46,34,32,23,-1509,-12400,-3443,10028,60,22,36,-2019,-268,-485
53,21,26,52,43,37,30,28,-1508,-12405,-3433,10025,37,22,43,-2031,-239,-504
58,20,27,70,62,37,27,30,-1508,-12410,-3425,10021,26,20,42,-2029,-246,-513
57,21,31,73,62,36,26,30,-1509,-12416,-3415,10018,34,19,37,-2046,-215,-510
48,21,36,71,71,34,27,30,-1509,-12419,-3406,10016,30,15,32,-2048,-231,-499
46,23,36,60,69,29,29,31,-1509,-12421,-3397,10017,38,9,25,-2045,-207,-484
62,25,34,61,67,28,26,28,-1511,-12422,-3395,10016,8,2,11,-2050,-144,-509
60,29,35,45,51,30,26,27,-1517,-12424,-3396,10013,-27,-2,-5,-2042,-193,-525
59,30,32,40,50,30,29,27,-1517,-12424,-3396,10013,-7,-9,-12,-2046,-228,-522
59,30,30,46,49,31,31,27,-1514,-12423,-3396,10014,19,-19,-16,-2036,-233,-519
74,30,34,57,54,35,30,31,-1510,-12421,-3396,10018,19,-23,-16,-2022,-241,-500
61,28,35,60,60,35,31,31,-1504,-12418,-3396,10022,25,-19,-8,-2031,-279,-494
63,27,33,62,62,31,32,32,-1497,-12415,-3393,10028,39,-17,-1,-2026,-273,-464
72,29,33,65,65,32,34,41,-1492,-12413,-3387,10033,41,-11,9,-2042,-257,-469
78,31,34,65,61,32,47,60,-1488,-12413,-3380,10036,43,-9,8,-2048,-236,-483
68,32,32,67,56,31,50,63,-1485,-12413,-3374,10038,38,-5,12,-2047,-240,-489
67,32,36,65,52,33,53,65,-1483,-12413,-3368,10041,34,-9,11,-2041,-230,-481
66,34,35,61,50,35,65,82,-1483,-12414,-3362,10042,25,-6,8,-2044,-213,-494
57,31,35,64,57,34,66,81,-1482,-12414,-3356,10044,29,-4,0,-2041,-208,-475
52,29,32,61,52,33,56,72,-1480,-12413,-3352,10046,28,0,-8,-2042,-211,-471
