EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
19,26,38,27,16,20,18,19,-7933,-6381,-11277,6134,308,-27,49,-2017,-134,-486
22,25,37,27,19,19,19,21,-7939,-6398,-11260,6140,103,-14,33,-2006,-161,-470
28,21,25,47,23,23,18,25,-7944,-6404,-11255,6138,17,-22,12,-2009,-214,-521
28,18,24,54,24,23,18,24,-7949,-6404,-11253,6134,-14,-23,3,-1995,-239,-535
29,17,23,57,34,24,21,25,-7957,-6398,-11253,6130,-55,-17,3,-2029,-286,-491
29,17,23,62,36,24,20,25,-7963,-6391,-11255,6125,-56,-9,0,-2038,-295,-507
28,18,22,62,36,25,18,25,-7968,-6390,-11257,6119,-38,-2,-5,-2022,-244,-519
22,15,24,48,33,22,19,20,-7975,-6385,-11259,6109,-69,-2,-1,-2043,-246,-507
21,17,23,49,33,22,18,21,-7985,-6374,-11268,6091,-135,-2,-11,-2034,-250,-533
19,17,23,48,24,22,16,20,-7995,-6360,-11280,6071,-161,5,-9,-2053,-272,-538
22,17,23,44,22,21,16,20,-7998,-6346,-11291,6060,-114,3,-4,-2030,-348,-547
27,19,21,42,21,22,20,20,-7997,-6346,-11291,6061,0,-4,11,-2011,-320,-557
29,20,19,43,22,21,19,20,-7998,-6347,-11291,6060,5,-7,7,-2035,-233,-532
30,21,18,32,23,20,22,21,-7998,-6345,-11293,6058,-22,-3,3,-2045,-301,-550
36,21,18,28,22,20,22,22,-7995,-6348,-11293,6058,22,0,-4,-2026,-260,-558
46,22,17,27,37,19,23,22,-7993,-6355,-11289,6062,58,-6,-8,-2018,-228,-544
45,24,18,31,46,23,22,20,-7995,-6354,-11287,6063,7,-9,-21,-2027,-229,-508
51,29,22,32,46,25,26,23,-7994,-6348,-11288,6068,-9,-9,-19,-2019,-325,-514
63,29,24,42,51,28,26,29,-7994,-6348,-11289,6068,-9,-9,-8,-2023,-313,-545
123,49,40,80,96,33,36,51,-7995,-6344,-11291,6067,-27,-6,1,-2013,-305,-528
200,65,44,138,220,81,146,107,-7995,-6343,-11291,6068,-9,5,4,-2046,-316,-491
246,74,44,145,250,102,193,121,-7998,-6345,-11290,6062,-18,4,13,-2016,-250,-523
249,74,42,147,257,104,197,123,-7995,-6342,-11292,6065,-8,13,16,-2028,-366,-509
252,90,74,147,259,106,234,191,-7989,-6352,-11274,6097,166,41,36,-2002,-402,-296
248,122,157,133,256,112,367,442,-7986,-6386,-11254,6103,186,79,36,-2125,-71,-427
220,148,236,75,169,95,359,523,-7980,-6394,-11275,6065,-139,92,63,-2010,-249,-692
170,146,243,61,118,72,354,553,-7955,-6412,-11281,6066,82,33,96,-1992,-446,-747
164,149,246,55,103,69,357,562,-7931,-6439,-11276,6077,180,-22,99,-2037,-396,-797
186,141,243,51,96,72,421,592,-7918,-6456,-11259,6108,208,-77,100,-1980,-485,-611
