EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
81,26,23,32,33,24,22,25,-7924,-6686,-11045,6243,-32,15,-17,-2039,-218,-514
69,25,25,61,34,26,24,26,-7924,-6686,-11045,6243,-32,15,-17,-2039,-218,-514
69,24,24,64,33,26,23,25,-7922,-6684,-11048,6243,-10,4,-20,-2029,-254,-523
61,23,25,66,34,23,21,25,-7918,-6682,-11050,6244,4,5,-25,-2048,-246,-536
98,31,25,69,29,23,24,21,-7917,-6679,-11051,6248,6,2,-25,-2036,-263,-486
93,29,24,69,32,23,24,24,-7914,-6677,-11052,6252,11,4,-28,-2039,-263,-506
104,34,23,84,112,27,23,30,-7910,-6673,-11056,6255,-4,2,-25,-2021,-285,-526
112,37,26,127,114,27,28,35,-7909,-6672,-11057,6255,1,1,-14,-2036,-311,-551
115,38,27,130,118,28,29,36,-7907,-6671,-11056,6260,17,-5,-8,-2033,-277,-504
85,32,27,131,120,27,28,35,-7904,-6672,-11056,6262,17,2,-4,-2030,-275,-518
79,31,28,135,119,28,28,32,-7905,-6672,-11056,6262,-3,4,-7,-2034,-230,-499
63,25,29,121,56,25,27,27,-7905,-6673,-11056,6261,-16,7,-9,-2028,-239,-523
65,21,26,79,61,35,23,25,-7905,-6673,-11056,6261,-10,-5,-8,-2034,-239,-511
78,28,25,72,73,51,21,25,-7904,-6672,-11057,6262,-3,-9,-2,-2061,-324,-562
82,28,26,87,71,53,20,26,-7903,-6672,-11058,6262,-16,3,6,-2010,-329,-548
82,28,25,86,72,54,19,25,-7901,-6673,-11057,6264,9,-5,18,-2029,-300,-528
86,31,31,102,72,55,20,26,-7904,-6677,-11053,6262,8,-7,17,-2040,-232,-502
101,47,40,109,106,61,34,47,-7911,-6677,-11052,6257,-23,-5,7,-2041,-210,-496
167,54,45,147,272,267,54,64,-7913,-6676,-11052,6255,-19,2,-5,-2030,-237,-498
197,65,50,148,373,323,62,71,-7913,-6676,-11052,6254,-6,-1,-12,-2033,-244,-516
202,68,55,159,429,350,64,73,-7913,-6676,-11053,6254,-5,1,-16,-2049,-272,-533
