EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
85,136,218,45,54,50,304,161,-2767,-9047,-9442,9476,1366,538,-3260,-2112,-1835,-684
46,138,254,42,34,32,139,75,-2767,-9047,-9442,9476,1366,538,-3260,-2112,-1835,-684
43,147,241,39,29,31,99,47,-2213,-8771,-9643,9677,1431,469,-3465,-1853,-1606,-520
39,158,238,39,29,27,81,31,-1676,-8459,-9827,9874,1395,317,-3518,-1724,-1328,-303
34,136,241,35,30,25,65,28,-1196,-8125,-10000,10050,1180,113,-3375,-1489,-1112,-121
37,162,345,47,35,29,50,28,-783,-7798,-10158,10190,924,1,-3085,-1346,-895,-25
38,166,339,47,37,26,49,28,-441,-7506,-10296,10291,686,-28,-2658,-1211,-780,-22
39,164,340,50,42,27,44,28,-170,-7261,-10411,10358,476,-35,-2183,-1105,-713,-58
40,153,384,54,44,28,41,29,33,-7072,-10500,10401,321,-31,-1670,-998,-728,-103
47,201,459,60,46,28,39,30,143,-6954,-10548,10431,187,-41,-1137,-911,-709,-119
47,213,408,57,46,27,39,30,186,-6897,-10563,10453,114,-47,-569,-909,-825,-145
46,213,502,96,47,29,37,27,163,-6907,-10531,10479,156,-72,16,-937,-864,-202
48,226,502,106,47,28,35,29,75,-6981,-10449,10513,241,-103,559,-987,-752,-245
54,274,501,114,47,27,33,31,-71,-7113,-10326,10546,227,-88,1039,-1125,-807,-219
51,285,460,125,63,32,31,30,-268,-7289,-10187,10558,95,-67,1463,-1159,-910,-248
58,299,661,135,75,38,35,34,-497,-7494,-10035,10551,-21,-50,1863,-1284,-873,-307
63,339,685,124,78,40,36,36,-792,-7733,-9873,10514,-241,-84,2239,-1289,-738,-335
62,334,706,117,80,42,35,35,-1144,-8004,-9721,10420,-611,-4,2549,-1460,-805,-339
56,294,689,107,79,42,36,34,-1554,-8298,-9589,10258,-1063,76,2819,-1648,-1002,-442
53,250,679,90,65,39,36,33,-2000,-8595,-9427,10085,-1110,-15,3093,-1690,-1282,-453
43,203,469,71,46,33,27,27,-2460,-8900,-9201,9926,-883,-120,3359,-1903,-1364,-532
33,141,307,48,42,31,27,24,-2938,-9204,-8934,9761,-807,-197,3528,-2252,-1177,-626
