EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
31,41,33,49,29,32,40,38,1748,12785,2415,-9802,-10,6,-1,-2047,-20,-541
33,39,30,57,32,31,42,40,1748,12785,2415,-9802,-10,6,-1,-2047,-20,-541
32,40,31,60,36,31,44,39,1748,12785,2416,-9803,-5,6,3,-2048,-31,-540
30,37,30,51,41,35,42,37,1748,12784,2415,-9803,-6,6,1,-2048,-14,-549
28,34,28,52,42,39,45,37,1749,12784,2415,-9803,-1,6,-1,-2045,-11,-538
28,29,28,51,40,41,38,32,1749,12784,2415,-9803,-3,8,0,-2050,-15,-549
26,31,28,43,38,41,35,28,1749,12784,2415,-9803,7,5,0,-2045,-21,-541
24,29,26,38,35,41,31,31,1749,12784,2415,-9803,2,5,-1,-2039,-4,-545
24,28,27,42,32,40,31,31,1749,12784,2415,-9804,-5,6,-3,-2057,-16,-528
23,29,28,39,31,37,30,36,1749,12784,2415,-9804,0,7,-2,-2044,-24,-556
23,30,31,38,31,33,29,37,1749,12783,2415,-9804,7,6,-2,-2049,-22,-545
24,28,32,37,31,34,34,40,1750,12783,2414,-9804,-1,7,0,-2049,-5,-545
26,28,36,38,31,33,33,39,1750,12783,2414,-9805,-11,7,-1,-2053,-15,-535
26,28,34,42,29,31,33,41,1750,12783,2414,-9805,-1,6,-1,-2046,-20,-543
28,26,33,42,28,37,38,40,1750,12783,2414,-9805,1,5,0,-2050,-19,-544
28,25,32,43,28,41,39,41,1750,12783,2414,-9805,-5,6,-3,-2050,-8,-561
29,25,29,43,26,44,39,37,1751,12783,2414,-9805,-3,6,-5,-2048,-7,-530
29,25,24,41,28,43,40,36,1751,12783,2414,-9805,-10,7,-8,-2047,-16,-551
28,24,24,37,33,42,40,39,1751,12783,2413,-9805,-8,4,-8,-2051,-1,-556
29,27,25,41,36,36,34,38,1751,12783,2413,-9805,-2,3,-10,-2046,-27,-553
29,28,24,41,36,33,34,36,1751,12783,2413,-9805,2,5,-8,-2046,-22,-557
27,27,22,39,40,29,29,39,1751,12783,2413,-9805,-6,8,-11,-2052,0,-542
26,28,24,43,38,31,27,46,1751,12782,2413,-9805,-16,5,-13,-2051,-23,-541
27,30,24,42,34,31,26,43,1751,12783,2413,-9805,-5,6,-14,-2051,-15,-564
27,28,22,37,32,32,26,42,1752,12783,2413,-9805,-5,0,-16,-2045,-18,-556
28,27,26,37,31,31,25,42,1752,12782,2415,-9806,-5,2,-18,-2050,-2,-537
30,26,28,38,27,30,31,42,1753,12780,2419,-9807,-20,4,-18,-2045,-23,-534
30,24,28,34,30,29,32,36,1752,12780,2419,-9807,-15,5,-15,-2051,-40,-561
29,22,29,42,33,31,35,40,1752,12780,2420,-9807,-6,-1,-10,-2048,-58,-553
28,24,29,43,34,32,37,40,1751,12780,2420,-9807,9,-6,-2,-2039,-40,-538
28,23,29,46,32,32,37,39,1751,12779,2420,-9808,2,1,4,-2048,-36,-527
25,25,31,49,35,38,34,38,1751,12779,2420,-9808,1,1,8,-2046,-30,-529
25,26,29,58,36,42,33,38,1751,12779,2420,-9808,-3,6,8,-2052,-26,-556
25,25,28,50,34,41,29,36,1751,12779,2420,-9808,-8,3,7,-2050,-14,-545
24,24,29,49,33,41,25,38,1751,12779,2420,-9808,-2,2,6,-2045,-26,-551
25,23,28,48,40,41,27,42,1751,12779,2420,-9808,4,1,4,-2051,-15,-560
25,22,25,52,36,35,25,43,1752,12779,2420,-9808,7,-2,3,-2038,-15,-536
25,21,26,46,36,29,25,45,1752,12779,2420,-9808,6,-1,0,-2043,-21,-552
28,21,25,48,36,27,27,42,1752,12779,2420,-9808,-3,0,0,-2051,-20,-547
28,21,27,50,38,24,29,39,1751,12779,2420,-9809,-2,2,1,-2051,-36,-541
29,26,29,53,34,28,30,38,1751,12778,2420,-9809,-2,3,2,-2060,-43,-547
29,24,28,48,35,30,31,38,1751,12778,2421,-9809,12,-2,9,-2038,-35,-553
29,24,29,46,37,33,32,36,1751,12778,2420,-9809,10,0,10,-2051,-12,-535
28,25,31,45,38,32,31,39,1751,12778,2420,-9809,3,3,8,-2044,-10,-542
30,24,30,52,38,35,30,40,1752,12778,2420,-9810,-5,4,5,-2054,-3,-541
31,22,29,51,37,33,26,40,1752,12778,2420,-9810,0,5,6,-2043,-27,-553
30,26,29,48,37,38,28,37,1752,12778,2420,-9810,0,0,3,-2037,-19,-550
32,27,29,46,32,39,30,37,1752,12778,2420,-9810,4,0,3,-2045,-13,-531
31,29,29,52,33,43,39,33,1752,12778,2420,-9810,0,1,0,-2039,-9,-541
29,28,27,42,30,40,39,32,1753,12778,2419,-9810,-3,5,-3,-2044,-3,-553
27,29,28,37,35,40,41,37,1753,12778,2419,-9810,-6,0,-6,-2041,2,-549
29,27,29,40,35,40,40,40,1753,12778,2419,-9810,-9,0,-9,-2039,-11,-537
28,26,30,40,36,36,39,39,1753,12777,2419,-9810,-16,2,-10,-2053,-24,-545
29,27,29,34,34,33,30,41,1753,12777,2419,-9810,1,0,-4,-2048,-45,-547
30,27,32,35,35,34,33,41,1753,12777,2419,-9811,6,0,-1,-2044,-35,-529
30,27,30,35,32,36,31,36,1753,12777,2419,-9811,-3,6,4,-2050,-29,-539
29,27,31,35,28,29,29,32,1752,12777,2420,-9811,-1,5,10,-2045,-38,-534
30,28,31,38,31,33,28,36,1752,12776,2419,-9812,4,4,11,-2048,-19,-539
30,26,31,47,31,34,31,37,1753,12776,2419,-9812,1,4,14,-2041,-16,-546
29,27,28,48,30,36,30,36,1753,12776,2419,-9812,0,6,11,-2041,-1,-556
28,25,27,51,27,33,32,39,1753,12776,2419,-9811,-6,6,7,-2048,-2,-551
31,25,25,51,29,36,34,48,1754,12776,2418,-9812,-9,7,1,-2048,-1,-540
29,24,26,50,27,33,35,43,1754,12776,2418,-9812,-5,6,-4,-2051,-8,-552
30,25,28,48,29,39,33,45,1754,12777,2418,-9811,-9,4,-10,-2039,-2,-554
30,25,30,47,31,38,33,46,1754,12776,2418,-9812,-12,4,-10,-2055,-21,-549
32,26,30,44,31,40,31,44,1754,12776,2418,-9812,-5,5,-9,-2045,-34,-542
28,26,29,41,32,40,49,43,1754,12776,2418,-9812,-4,6,-6,-2039,-23,-543
30,26,29,49,32,42,51,43,1754,12776,2418,-9812,-5,4,-4,-2042,-23,-528
32,27,26,53,34,36,50,42,1754,12776,2418,-9812,-9,6,-3,-2048,-20,-544
31,27,25,53,33,36,50,43,1754,12776,2418,-9813,-11,8,-5,-2045,-16,-537
32,26,23,54,37,39,48,44,1755,12776,2418,-9813,-9,11,-5,-2049,-13,-553
32,25,29,54,35,36,31,39,1755,12775,2418,-9813,-8,10,-6,-2061,-25,-533
31,26,29,45,34,36,27,39,1755,12776,2418,-9813,-9,9,-8,-2039,-14,-567
28,25,33,33,35,38,27,40,1755,12776,2417,-9813,-3,6,-10,-2040,-7,-535
