EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
40,29,21,34,53,50,40,39,10066,-3211,12319,2240,10,-38,-48,-2021,8,-453
54,41,36,56,90,207,321,144,10066,-3211,12319,2240,10,-38,-48,-2021,8,-453
60,41,41,94,189,262,366,171,10066,-3218,12318,2238,-16,-36,-49,-2039,-56,-498
65,61,54,119,210,273,390,178,10069,-3222,12316,2228,27,-44,-35,-2079,-122,-509
81,78,67,175,312,353,461,217,10080,-3219,12309,2220,48,-64,-19,-2050,-97,-441
83,81,74,181,414,380,477,219,10089,-3215,12303,2218,25,-48,0,-2046,-90,-409
87,144,107,190,424,327,362,177,10093,-3214,12299,2223,-12,-38,-1,-2027,-56,-416
111,192,156,188,403,295,327,156,10091,-3218,12298,2231,-46,-22,-3,-2028,-48,-465
113,198,171,174,398,288,307,149,10097,-3206,12295,2239,29,-5,-9,-2107,67,-350
106,197,167,121,332,191,195,89,10104,-3191,12293,2239,68,-16,-17,-2032,59,-354
112,217,181,153,225,146,156,122,10098,-3186,12296,2258,-41,29,-41,-2086,180,-400
110,182,164,181,229,150,142,131,10095,-3205,12296,2245,-24,-2,-55,-2213,-207,-545
87,146,130,171,211,131,117,130,10097,-3202,12300,2219,113,-18,-21,-2168,-184,-530
130,225,214,189,213,133,106,140,10096,-3202,12305,2195,93,-19,-5,-2055,-221,-562
489,558,644,424,261,146,102,288,10090,-3206,12309,2191,-14,-30,46,-2071,-205,-571
689,748,920,539,273,152,131,364,10096,-3203,12305,2195,-22,-57,98,-1982,-234,-440
755,974,1074,568,256,147,136,389,10104,-3189,12300,2204,5,-61,139,-2031,-189,-402
845,1095,1230,639,285,171,171,433,10118,-3169,12294,2206,41,-72,195,-2139,-313,-389
853,1119,1244,639,279,173,172,434,10136,-3120,12294,2188,224,-76,318,-2364,-433,-451
729,1075,1097,516,226,154,164,356,10154,-3070,12295,2168,209,-68,473,-2107,-713,-378
583,1020,974,409,186,143,144,279,10168,-3027,12293,2179,28,-19,620,-2168,-836,-260
506,962,820,391,167,135,152,241,10163,-3061,12269,2289,-675,82,547,-1957,-657,44
392,1002,669,313,118,109,129,176,10159,-3205,12220,2368,-921,-16,-125,-2211,-526,-234
423,1065,760,323,126,106,123,203,10159,-3611,12116,2319,-1328,-55,-1768,-2158,-1737,-1025
397,1031,806,331,132,112,140,200,10200,-4212,11927,2094,-1314,-125,-3213,-2777,-2850,-970
373,1164,740,305,114,97,136,185,10283,-4802,11696,1680,-400,-229,-4229,-3454,-881,-1501
363,1080,737,246,113,94,122,179,10376,-5445,11389,1182,-234,-330,-5068,-3718,190,-1254
307,946,665,179,97,86,115,155,10468,-6069,11029,592,150,-291,-5433,-4272,-372,-862
235,834,513,142,76,72,112,107,10637,-6466,10651,-140,1649,-310,-5361,-3831,1326,-20
222,779,417,113,59,59,90,98,10761,-6697,10339,-935,2345,163,-4423,-2659,1965,-257
