EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
90,61,54,64,59,46,41,73,9952,-1044,12952,723,19,3,1,-2006,7,-526
104,77,54,67,61,48,40,73,9952,-1044,12952,723,19,3,1,-2006,7,-526
104,77,43,59,62,51,42,72,9956,-1045,12949,721,3,10,-1,-2081,-136,-352
103,76,44,68,74,58,41,67,9963,-1040,12945,715,45,26,2,-2088,-24,-421
87,72,42,63,70,56,37,56,9960,-1022,12948,707,109,17,0,-2018,80,-546
74,66,43,60,70,54,36,43,9960,-1018,12949,710,11,29,-20,-1977,75,-477
49,44,37,57,67,52,34,38,9952,-1032,12954,712,-58,40,-49,-2060,-13,-576
44,43,36,54,63,50,33,35,9951,-1041,12955,688,48,28,-27,-2095,-204,-543
50,78,42,42,33,29,30,32,9946,-1024,12962,646,227,-15,1,-2082,-153,-695
77,124,69,58,63,161,215,142,9940,-994,12971,609,258,-35,47,-2076,-98,-740
206,160,118,80,87,387,513,420,9948,-964,12969,572,249,-63,83,-2063,-185,-603
262,251,143,114,182,632,726,590,9959,-921,12964,547,252,-75,116,-2054,-60,-571
285,280,173,129,205,699,809,653,9969,-884,12960,534,181,-75,138,-2043,-77,-568
296,303,204,134,206,702,817,656,9983,-843,12953,509,236,-92,160,-2045,-162,-550
351,531,296,150,209,693,801,651,9992,-785,12951,484,310,-107,176,-2067,-39,-655
305,709,354,152,210,612,668,527,10009,-718,12943,438,428,-132,159,-2117,-68,-607
267,747,379,136,138,362,436,332,10039,-598,12928,358,797,-223,131,-2145,188,-630
250,750,378,126,105,210,255,187,10085,-417,12902,234,1269,-285,-7,-2309,671,-572
243,755,375,126,104,203,230,176,10132,-259,12872,4,1606,-326,-287,-2254,1338,-818
144,617,318,103,81,168,186,141,10171,-150,12840,-296,1741,-303,-722,-2381,1136,-944
123,391,243,81,46,110,118,100,10219,-70,12787,-682,2015,-336,-1167,-2627,1151,-377
133,307,213,78,43,75,81,78,10200,30,12768,-1155,2447,41,-1332,-2149,622,-579
119,323,196,72,36,63,111,66,10005,313,12863,-1658,3153,1168,-572,-1974,-533,-1398
105,332,182,62,32,56,112,58,9733,953,12931,-2357,5265,1523,348,-1613,-993,-1906
100,340,174,57,33,50,112,54,9435,1842,12898,-3105,6448,1438,1183,-1203,-118,-2260
103,352,164,55,33,39,112,52,9110,2836,12770,-3784,6641,1457,1747,-733,1183,-1821
72,350,135,40,26,32,111,47,8676,3702,12729,-4171,4932,2372,1914,-1219,847,-1587
74,328,141,44,26,27,72,50,8172,4491,12733,-4396,3980,2949,2025,-1266,-98,-1266
71,283,133,41,26,26,62,47,7605,5312,12700,-4591,4079,3238,2220,-1550,-184,-1347
78,329,129,42,33,45,79,46,7024,6117,12578,-4842,4437,3000,2140,-1914,-202,-1108
83,383,178,50,36,47,78,48,6514,6845,12378,-5091,4283,2411,1994,-2102,645,-1125
81,388,190,50,36,49,75,47,6157,7405,12177,-5234,3162,1777,1660,-2290,1714,-861
73,383,192,48,37,49,70,45,6174,7759,12066,-4951,330,1558,1288,-2351,2087,-412
76,390,196,50,40,52,74,46,6247,7813,12202,-4410,-2472,1633,1012,-2508,875,-607
