EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
63,261,99,20,18,30,37,33,10324,-2064,12227,-2842,316,-230,-463,-919,-966,26
56,262,100,23,20,32,37,35,10324,-2064,12227,-2842,316,-230,-463,-919,-966,26
43,198,84,21,21,32,34,31,10324,-2110,12207,-2891,17,-38,-244,-834,-679,-45
40,112,65,48,37,43,46,41,10299,-2162,12229,-2848,-418,98,12,-841,-580,-145
35,116,67,75,45,84,51,69,10263,-2219,12269,-2763,-660,189,222,-884,-761,-119
49,109,78,125,94,92,53,108,10222,-2250,12321,-2657,-673,261,434,-934,-825,-145
52,98,73,144,136,102,56,115,10191,-2225,12377,-2534,-550,276,710,-1099,-826,-175
123,88,75,162,183,124,143,236,10148,-2162,12452,-2385,-530,378,927,-1305,-805,-293
140,102,105,225,249,215,179,278,10103,-2065,12535,-2225,-476,453,1099,-1487,-808,-311
151,173,143,231,280,318,227,319,10052,-1939,12624,-2060,-403,529,1234,-1654,-814,-342
152,198,147,233,274,368,263,340,10003,-1764,12712,-1910,-181,588,1371,-1902,-800,-361
240,567,348,257,266,400,314,385,9893,-1693,12809,-1902,-155,807,1282,-1948,-2530,-594
309,960,568,265,264,554,420,453,9850,-1650,12825,-2044,581,550,1,-3741,-1883,-620
369,1162,723,229,236,573,451,549,9915,-1327,12788,-2192,1842,-88,749,-662,1320,-86
402,1326,807,241,215,594,480,608,9879,-981,12852,-2163,1063,735,1149,-3583,-188,-715
405,1324,807,230,217,600,477,607,9835,-741,12926,-2019,369,505,597,-2648,1099,-839
360,1214,744,192,208,590,452,586,9800,-673,12986,-1817,-624,306,689,-2243,3,-705
285,935,593,171,179,455,346,501,9726,-717,13057,-1679,-856,327,491,-1653,-875,-841
199,663,381,155,156,545,393,401,9658,-673,13119,-1607,-235,335,570,-1913,-728,-931
113,102,86,132,203,488,347,276,9613,-596,13170,-1482,-250,229,550,-2270,-84,-1006
112,80,69,132,210,467,339,271,9593,-543,13202,-1338,-434,176,531,-2365,-88,-796
114,70,62,140,223,489,359,276,9607,-507,13208,-1190,-511,95,458,-2540,-35,-517
121,51,60,153,238,501,363,285,9629,-459,13204,-1070,-333,54,392,-2633,42,-516
127,64,132,170,267,476,307,336,9635,-425,13208,-978,-251,32,267,-2419,38,-681
138,76,233,285,249,476,302,373,9640,-400,13207,-949,-51,-34,214,-2195,-293,-729
138,78,272,338,245,462,298,361,9639,-334,13207,-975,361,-58,173,-2046,-184,-811
