EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
47,23,44,52,76,42,35,45,9746,-1338,13071,885,-4,3,2,-2035,-14,-618
62,23,43,52,65,38,34,47,9746,-1338,13071,885,-4,3,2,-2035,-14,-618
61,25,31,50,58,36,32,47,9746,-1338,13071,886,1,1,4,-2041,-10,-616
67,27,33,52,65,32,34,48,9746,-1337,13071,886,6,1,4,-2050,-5,-621
67,26,31,54,66,37,35,46,9746,-1337,13071,886,6,3,2,-2034,-8,-626
83,26,26,49,71,38,30,47,9745,-1337,13072,887,3,1,2,-2033,-5,-615
76,24,32,48,70,39,32,45,9745,-1337,13072,887,-6,3,1,-2035,-9,-607
79,22,31,50,71,38,34,50,9745,-1337,13072,887,-11,3,1,-2048,-9,-610
83,20,29,47,63,41,33,49,9745,-1336,13072,887,-4,4,-1,-2038,-7,-624
82,21,30,46,63,41,34,49,9745,-1336,13072,888,-1,2,-2,-2029,1,-631
70,22,30,44,59,42,37,49,9744,-1336,13072,888,-3,3,-1,-2029,-7,-627
69,21,29,42,62,43,36,45,9744,-1335,13073,889,-4,3,-2,-2042,1,-614
69,28,28,45,64,47,34,41,9744,-1335,13073,889,-4,2,0,-2040,-14,-619
60,29,28,44,69,45,33,43,9744,-1335,13073,889,-3,4,1,-2023,-17,-624
63,30,27,41,66,43,31,45,9743,-1335,13073,889,3,3,2,-2028,-15,-626
66,32,28,42,69,42,36,45,9743,-1335,13073,889,9,2,4,-2033,-6,-604
62,33,27,44,68,42,36,46,9743,-1335,13073,890,0,0,4,-2050,-10,-608
59,28,31,44,64,37,36,45,9743,-1335,13073,890,4,2,4,-2039,-12,-618
61,26,33,44,55,39,37,40,9743,-1334,13073,890,2,7,1,-2041,-3,-615
61,26,34,43,49,40,35,38,9743,-1334,13074,891,4,2,-2,-2038,9,-623
50,21,34,49,48,43,30,35,9743,-1334,13074,891,-3,6,1,-2047,0,-614
55,22,32,55,49,47,33,36,9743,-1334,13074,891,9,5,2,-2042,-20,-616
64,24,29,56,53,54,38,40,9742,-1333,13074,891,13,7,1,-2031,-5,-625
65,25,23,55,56,52,37,44,9742,-1333,13074,892,6,6,-2,-2031,-10,-634
68,23,32,56,54,55,39,43,9742,-1333,13074,892,7,6,0,-2042,-7,-628
71,27,32,50,52,52,37,43,9741,-1333,13075,892,13,3,4,-2035,-16,-620
68,26,33,51,52,47,35,43,9741,-1333,13075,892,12,4,2,-2034,-10,-624
62,25,33,48,49,46,32,38,9741,-1333,13075,893,7,4,1,-2042,-1,-632
57,24,35,50,48,47,35,37,9740,-1332,13075,893,6,3,3,-2041,-2,-632
52,25,34,50,52,45,36,37,9740,-1332,13076,893,1,4,0,-2041,-3,-625
57,23,33,56,48,42,38,39,9739,-1332,13076,893,10,3,2,-2032,-10,-637
60,27,32,53,52,41,41,44,9739,-1332,13076,894,11,2,2,-2040,-10,-620
57,28,36,49,55,36,41,44,9739,-1332,13077,894,6,1,-1,-2036,2,-636
58,29,33,52,60,35,40,42,9738,-1331,13077,894,-1,-3,-1,-2038,-4,-632
58,34,28,54,69,34,41,41,9738,-1331,13077,895,2,-2,-1,-2040,1,-627
52,32,29,54,75,44,42,45,9738,-1331,13077,895,2,-4,-3,-2038,-5,-625
51,30,31,53,74,45,39,40,9737,-1331,13078,895,1,-3,-2,-2039,-6,-633
54,28,26,53,72,44,39,38,9737,-1331,13078,895,5,-4,-2,-2040,-18,-616
61,28,29,51,67,43,39,40,9737,-1330,13078,895,9,-5,-1,-2036,-10,-621
67,24,30,47,55,40,38,43,9737,-1330,13078,896,8,-4,-3,-2028,7,-635
70,28,27,39,54,37,42,35,9736,-1330,13078,896,2,-7,-3,-2040,7,-618
65,27,28,40,53,39,41,34,9736,-1329,13078,897,-2,-6,-3,-2032,6,-614
74,29,31,53,56,37,40,40,9736,-1329,13078,897,-4,-5,-1,-2036,-22,-619
69,28,30,49,56,38,42,38,9736,-1329,13079,897,1,-6,-3,-2045,-21,-629
65,28,28,50,59,39,42,36,9736,-1329,13079,897,3,-6,-2,-2036,-3,-626
60,24,28,51,53,35,32,37,9735,-1329,13079,898,8,-5,0,-2036,4,-621
65,24,25,53,51,32,35,39,9735,-1329,13079,898,7,-6,1,-2033,-16,-612
51,25,24,46,52,34,32,34,9735,-1329,13079,898,6,-7,1,-2033,-1,-617
51,26,23,48,51,35,34,42,9735,-1329,13079,898,5,-7,3,-2033,-12,-625
62,29,25,50,49,37,33,41,9735,-1328,13080,899,10,-6,2,-2041,15,-626
61,30,26,48,48,37,35,41,9735,-1328,13080,899,1,-5,1,-2042,11,-621
60,30,26,52,49,42,32,39,9734,-1327,13080,900,8,-6,0,-2036,2,-627
64,29,26,56,50,50,37,42,9734,-1327,13080,900,13,-6,-2,-2038,0,-632
72,29,29,56,56,48,33,34,9734,-1327,13080,900,10,-7,-4,-2040,3,-620
62,24,28,54,56,47,31,35,9734,-1327,13080,901,11,-6,-2,-2044,0,-617
68,24,26,55,56,50,31,37,9733,-1326,13081,901,7,-6,-2,-2035,-1,-628
73,23,26,45,56,46,32,38,9733,-1326,13081,901,9,-6,-4,-2035,-15,-624
74,24,27,46,58,38,28,34,9733,-1326,13081,901,14,-7,-4,-2031,-3,-626
66,24,25,45,60,38,27,35,9733,-1326,13081,902,12,-7,-1,-2038,5,-612
66,22,29,44,63,46,35,36,9733,-1325,13081,902,6,-7,1,-2037,5,-613
83,21,31,48,67,42,36,40,9733,-1325,13081,902,2,-5,-1,-2036,-7,-623
80,25,36,48,67,43,35,40,9732,-1325,13082,903,-1,-6,-1,-2037,2,-633
82,26,35,39,63,42,38,43,9732,-1325,13082,903,4,-6,-1,-2042,8,-618
81,28,35,54,62,47,40,44,9732,-1324,13082,904,6,-6,-1,-2034,6,-619
81,28,32,56,58,48,36,44,9732,-1324,13082,904,4,-8,-4,-2040,14,-615
69,28,31,53,58,48,34,41,9732,-1323,13082,905,7,-5,-6,-2042,13,-621
67,29,26,55,56,47,35,42,9731,-1323,13082,905,6,-4,-8,-2034,12,-618
64,29,25,53,52,47,33,41,9732,-1323,13082,906,8,-3,-9,-2047,-4,-595
64,29,24,44,48,46,32,42,9732,-1323,13082,906,7,-3,-8,-2034,-4,-604
64,28,27,45,57,40,29,42,9732,-1322,13082,906,3,-4,-9,-2039,2,-619
72,31,25,51,56,40,32,40,9732,-1322,13082,906,2,-6,-7,-2040,-11,-626
73,29,22,50,60,40,30,37,9732,-1322,13082,907,1,-3,-7,-2025,-6,-607
70,27,22,49,62,41,31,36,9732,-1322,13082,907,-11,-1,-7,-2033,11,-613
68,26,25,46,63,41,32,31,9731,-1322,13082,907,-16,0,-8,-2036,-8,-623
67,28,25,46,69,39,36,34,9731,-1322,13082,907,-9,1,-9,-2040,-12,-612
48,25,28,45,70,42,34,36,9731,-1321,13082,908,-3,1,-6,-2037,-3,-611
52,27,29,46,67,53,38,37,9731,-1321,13082,908,0,-2,-6,-2036,-10,-610
53,26,28,47,74,60,38,42,9732,-1321,13082,908,4,-1,-4,-2040,-16,-606
55,25,25,45,75,59,38,42,9731,-1321,13082,908,0,-1,-6,-2036,-1,-623
53,24,22,42,63,57,35,37,9731,-1321,13082,908,1,0,-4,-2037,-13,-615
54,25,18,36,67,57,40,35,9731,-1321,13082,908,10,0,-3,-2037,-9,-614
60,23,21,42,74,50,37,41,9732,-1321,13082,908,5,0,0,-2038,-7,-603
58,26,21,44,65,41,37,38,9731,-1321,13082,909,-2,1,-1,-2037,-9,-618
58,27,24,46,64,39,36,40,9731,-1320,13082,909,-2,-1,-1,-2036,3,-623
61,29,26,47,66,43,35,39,9731,-1320,13082,909,2,1,-1,-2053,-1,-621
60,27,29,48,62,41,31,39,9731,-1320,13082,910,3,-1,-2,-2033,1,-613
60,27,28,47,55,40,30,34,9731,-1320,13082,910,1,0,-5,-2042,13,-618
63,29,28,42,55,42,27,32,9731,-1319,13083,911,2,1,-6,-2044,12,-624
61,28,27,39,50,41,29,31,9731,-1319,13083,911,-2,2,-6,-2042,-5,-618
57,24,27,40,46,37,28,30,9731,-1319,13083,911,-4,5,-6,-2039,3,-618
63,27,27,37,40,37,27,29,9730,-1319,13083,911,-7,5,-7,-2038,-9,-622
54,27,26,47,56,41,29,29,9730,-1319,13083,911,-1,4,-6,-2033,-5,-629
51,25,26,48,57,42,35,31,9730,-1318,13083,912,-3,4,-4,-2031,1,-622
52,25,26,57,60,44,35,32,9730,-1318,13083,912,-6,5,-3,-2034,-7,-607
65,26,26,58,60,48,36,35,9730,-1318,13083,912,-4,6,-5,-2040,-15,-619
65,27,25,59,60,51,35,39,9729,-1318,13084,912,0,5,-4,-2040,-7,-638
62,27,25,49,47,44,33,37,9729,-1318,13084,912,7,5,-4,-2033,4,-616
72,26,26,49,49,43,29,41,9729,-1318,13084,913,6,6,-4,-2039,7,-617
75,26,22,40,49,44,30,42,9729,-1317,13084,913,0,4,-4,-2043,-3,-618
66,26,20,43,52,43,29,40,9729,-1317,13084,913,0,6,-4,-2029,4,-616
