EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
43,56,53,31,56,42,43,47,9355,-4817,11919,3955,11,-43,7,-2064,1,-516
35,59,57,29,56,48,45,43,9355,-4817,11919,3955,11,-43,7,-2064,1,-516
33,53,61,28,58,55,39,32,9359,-4812,11918,3953,29,-46,10,-2039,21,-524
38,43,61,28,59,55,38,29,9365,-4803,11918,3951,45,-48,18,-2053,46,-509
40,37,61,22,55,58,36,33,9372,-4791,11918,3951,55,-49,28,-2068,51,-499
40,36,47,23,52,59,34,31,9379,-4777,11917,3951,58,-48,27,-2064,72,-481
40,34,43,23,62,55,34,33,9383,-4764,11918,3954,44,-45,26,-2032,98,-490
39,34,39,25,55,50,46,36,9384,-4753,11919,3962,18,-44,17,-2007,137,-498
34,36,39,31,55,49,46,39,9382,-4748,11919,3971,-18,-39,5,-2029,125,-518
30,39,37,32,54,46,45,35,9382,-4748,11917,3979,-26,-34,-8,-2054,99,-506
33,42,44,30,51,47,51,33,9384,-4747,11915,3981,-7,-34,-1,-2063,53,-503
33,65,62,31,39,47,51,36,9389,-4747,11911,3984,-7,-42,-4,-2062,50,-484
47,146,110,35,39,56,44,52,9391,-4746,11907,3989,-19,-36,3,-2039,53,-479
51,188,168,32,39,56,45,53,9392,-4749,11904,3995,-37,-34,5,-2049,44,-495
55,344,229,32,43,59,48,56,9394,-4753,11898,4001,-44,-32,5,-2118,19,-486
55,361,234,36,46,62,43,64,9399,-4764,11890,4000,-54,-33,16,-2139,-112,-494
68,365,235,38,64,77,43,71,9409,-4775,11883,3986,-8,-45,9,-2167,-192,-529
62,344,224,84,107,117,90,122,9424,-4789,11876,3952,75,-55,-32,-2231,-274,-589
89,332,194,146,141,129,111,156,9449,-4773,11883,3890,329,-38,-49,-2103,-192,-552
141,185,206,443,225,153,124,184,9481,-4753,11891,3812,421,30,-108,-2265,-162,-455
195,165,379,639,279,168,150,197,9502,-4863,11898,3594,459,195,-661,-2525,-1013,-1036
215,157,403,740,293,185,162,201,9636,-4998,11846,3202,1273,28,-1895,-3104,-1602,-1295
231,157,416,779,291,181,158,177,9884,-5184,11722,2536,2368,-131,-3387,-3829,-1003,-1354
307,161,468,821,289,194,189,225,10159,-5510,11485,1722,2490,-184,-4914,-4359,269,-1036
319,154,487,800,265,181,191,235,10302,-6122,11134,916,1120,122,-6075,-4079,-769,-732
306,142,376,784,215,172,179,233,10365,-6826,10695,85,672,218,-6630,-3677,-1658,-476
319,137,367,764,204,162,185,278,10422,-7458,10177,-783,1020,73,-6705,-3189,-1775,-105
416,155,368,788,212,161,206,361,10462,-8024,9585,-1650,1244,-145,-6676,-2419,-1550,-116
367,153,372,855,210,157,190,336,10465,-8527,8943,-2494,1331,-246,-6536,-1723,-1289,-115
348,139,319,837,168,160,189,323,10255,-9074,8377,-3281,322,448,-6365,-809,-1031,-178
355,134,311,725,165,154,187,328,9922,-9626,7837,-3990,-321,634,-6117,-227,-922,-242
335,134,323,743,189,146,171,292,9457,-10196,7345,-4593,-1206,788,-5803,-42,-1397,-44
208,103,301,680,164,138,146,204,8910,-10694,6906,-5194,-1262,1273,-5651,-515,-1761,-828
194,88,203,564,148,145,129,200,8449,-11051,6421,-5804,-413,1228,-5392,-718,-134,-460
199,88,182,497,145,164,120,205,8076,-11293,5951,-6347,-41,1041,-4684,-412,-626,276
