EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
60,20,20,33,77,26,31,37,9921,-446,13027,270,28,-34,-14,-2041,26,-585
61,18,21,40,77,28,30,35,9921,-446,13027,270,28,-34,-14,-2041,26,-585
52,20,19,43,68,37,33,32,9925,-446,13025,270,3,-35,-12,-2032,6,-576
51,22,18,42,70,39,34,31,9925,-446,13025,270,3,-35,-12,-2032,6,-576
47,22,19,43,68,39,35,30,9929,-447,13022,272,-8,-32,-11,-2037,8,-568
48,22,19,43,57,38,34,31,9932,-449,13019,273,-10,-33,-7,-2049,-12,-581
40,22,17,33,53,39,31,27,9935,-447,13017,273,7,-34,-2,-2037,-2,-575
38,55,58,32,45,30,27,26,9939,-444,13014,274,9,-32,-1,-2034,20,-566
47,166,101,38,45,29,25,27,9942,-442,13012,278,0,-33,-2,-2023,32,-573
68,307,277,46,48,33,29,28,9944,-442,13010,281,-12,-33,-2,-2036,8,-587
85,369,325,49,51,37,33,28,9945,-442,13009,281,-1,-36,3,-2041,-15,-598
98,448,410,63,50,38,35,34,9948,-439,13007,281,13,-36,7,-2030,-5,-581
104,539,579,77,56,44,39,37,9950,-435,13005,281,13,-34,10,-2021,7,-585
108,591,661,80,60,48,45,43,9952,-431,13004,285,3,-35,12,-2033,17,-585
99,689,682,81,61,49,45,45,9956,-427,13001,287,3,-36,18,-2032,4,-567
92,713,733,91,61,49,44,46,9957,-423,13000,292,-3,-29,23,-2011,9,-575
86,688,768,102,58,48,42,44,9949,-426,13006,314,-104,-7,45,-1989,38,-652
83,726,665,93,52,44,39,45,9935,-438,13015,370,-270,32,56,-1982,155,-643
76,688,584,89,46,39,33,39,9917,-470,13026,420,-324,22,2,-1987,74,-725
71,555,521,84,42,36,28,36,9904,-488,13036,386,64,-22,-107,-2029,-167,-797
63,512,430,76,38,38,24,34,9913,-441,13034,258,750,-105,-293,-2177,116,-741
53,496,297,50,34,36,22,33,9943,-327,13017,80,1283,-201,-469,-2209,651,-653
48,320,282,61,33,35,23,29,9995,-217,12979,-67,1227,-261,-757,-2185,1335,-430
46,302,400,81,34,40,26,29,10046,-174,12939,-197,941,-249,-1097,-2165,1513,-371
52,370,400,90,37,40,31,37,10079,-221,12910,-334,659,-209,-1510,-2201,1446,-502
55,411,391,93,37,37,33,36,10077,-384,12898,-599,647,-51,-1778,-2230,911,-726
60,448,484,106,40,40,34,36,10026,-545,12918,-857,595,166,-1650,-2150,46,-1499
64,454,568,128,45,47,48,40,9967,-575,12940,-1139,1185,209,-1264,-2797,-166,-1050
75,551,650,218,53,46,60,83,9934,-356,12936,-1503,2373,254,-347,-2142,83,-870
77,498,776,247,75,61,159,146,9863,67,12955,-1814,2846,599,600,-1867,1081,-783
104,454,804,253,94,115,245,199,9719,549,13036,-1925,2147,1150,1398,-1891,1772,-1014
106,571,805,273,103,121,266,221,9530,1021,13158,-1845,1233,1525,2028,-2224,1249,-1118
109,691,809,283,105,119,275,229,9299,1559,13292,-1687,1070,1822,2650,-2460,521,-1263
104,621,723,229,102,121,276,223,9179,2246,13275,-1702,2318,1159,3001,-4275,93,620
104,648,659,199,87,116,236,188,8871,2789,13425,-1315,141,2332,3271,-1287,949,-1794
84,690,701,226,74,64,149,133,8470,3595,13509,-1126,1862,2516,4116,-2684,-509,-2364
80,607,660,202,62,51,108,96,8072,4560,13445,-1295,3963,1768,4121,-2595,-1478,-1823
75,477,600,177,55,51,76,76,7575,5651,13285,-1618,5297,1849,4245,-2089,-351,-1132
