EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
252,134,130,223,151,213,234,220,9619,-4971,12296,18,526,19,-62,-623,-1401,-886
299,132,127,235,168,226,352,418,9619,-4971,12296,18,526,19,-62,-623,-1401,-886
311,113,97,247,183,269,410,522,9611,-4968,12303,-46,173,-48,309,-639,-1298,-665
318,75,73,231,185,293,477,567,9588,-4974,12319,-39,-178,-81,532,-563,-1286,-657
309,78,74,185,183,275,561,596,9572,-4998,12322,31,-507,-236,648,-712,-1363,-666
315,87,73,212,183,291,592,604,9623,-4973,12292,92,-372,-364,989,-976,-1908,-232
277,141,98,200,164,288,586,538,9701,-4890,12262,197,-276,-508,1222,-1704,-1830,-363
284,141,139,190,158,283,700,536,9757,-4679,12299,233,688,-156,893,-2675,-600,-804
303,196,179,187,149,275,776,613,9735,-4349,12434,327,985,53,1285,-1450,797,-1112
309,203,194,200,162,318,800,694,9675,-4103,12557,556,35,131,1325,-2175,744,-1041
368,203,198,176,198,360,856,780,9591,-3963,12651,824,-586,146,1124,-2252,498,-992
402,178,194,189,380,498,977,792,9537,-3873,12694,1145,-1043,225,989,-2990,468,-388
401,176,168,190,401,503,893,745,9635,-3751,12633,1386,-561,102,704,-4201,292,763
374,113,122,178,401,492,789,650,9647,-3630,12636,1585,-328,127,582,-3027,763,-6
338,93,95,172,396,452,700,518,9557,-3621,12691,1708,-501,-5,438,-2031,26,-1430
290,80,87,204,388,412,596,362,9483,-3592,12752,1720,50,-78,257,-1878,-128,-1693
235,58,92,201,216,213,255,241,9476,-3465,12795,1700,653,-61,178,-2114,513,-1042
217,111,138,230,165,147,172,185,9512,-3332,12801,1721,562,-85,44,-2180,965,-408
217,177,180,236,152,127,162,155,9542,-3273,12793,1727,337,-153,-216,-2090,747,-567
205,235,247,224,130,107,107,137,9561,-3227,12800,1660,619,-122,-474,-1972,716,-837
159,264,279,184,77,73,74,117,9588,-3169,12807,1561,870,-31,-762,-2029,1137,-660
149,270,276,169,65,58,63,104,9607,-3181,12795,1508,453,-3,-1048,-2348,1315,-624
138,257,256,112,49,64,56,91,9624,-3313,12755,1453,-33,-1,-1376,-2796,775,-713
120,218,234,95,47,62,51,74,9653,-3539,12687,1322,-133,-52,-1652,-3230,688,-700
138,155,167,114,60,63,50,82,9696,-3754,12607,1178,-43,-78,-1653,-3536,416,-294
136,97,102,118,111,89,86,113,9719,-3970,12538,1005,11,74,-1602,-2512,-514,-38
163,112,97,128,113,94,93,117,9733,-4223,12454,869,-389,126,-1394,-1789,-941,-178
167,121,99,132,136,89,95,125,9670,-4589,12382,738,-1071,276,-1099,-1580,-2384,-640
274,123,82,170,162,129,146,174,9601,-4944,12306,605,-1052,105,-894,-1076,-2670,-877
305,124,73,215,188,174,195,197,9544,-5216,12246,400,-365,-21,-792,-390,-2437,-1124
317,125,69,227,199,181,191,191,9474,-5392,12228,278,-279,-67,-341,278,-1615,-1045
338,103,69,264,207,191,314,272,9415,-5528,12215,186,-278,-171,0,145,-1816,-1131
416,105,78,298,223,246,543,433,9444,-5552,12182,69,243,-300,356,-91,-1971,-656
524,111,84,338,285,328,650,546,9521,-5488,12151,-13,521,-458,605,-397,-1600,-551
573,115,88,323,319,443,794,646,9613,-5392,12121,-60,476,-441,812,-435,-1519,-251
584,119,86,315,317,458,888,738,9690,-5331,12087,-16,-115,-450,1042,-892,-1882,-181
654,130,87,292,338,540,941,820,9743,-5302,12056,147,-667,-504,998,-1848,-1591,-375
619,106,71,260,322,540,937,880,9806,-5119,12082,287,249,-299,785,-2842,-147,-627
494,122,72,191,255,506,899,878,9735,-4877,12232,478,202,124,1353,-1767,506,-1215
421,127,75,161,195,423,815,848,9652,-4621,12386,700,148,205,1278,-2839,737,-1431
442,124,77,198,198,420,751,787,9609,-4428,12475,931,-288,194,1333,-2823,70,-680
313,106,73,192,160,309,656,679,9597,-4229,12533,1167,-253,224,1121,-2722,574,-103
305,105,73,196,162,271,497,513,9653,-4057,12519,1427,-396,135,797,-3718,793,503
297,70,67,191,276,312,527,433,9661,-3924,12532,1620,-261,82,654,-3014,652,-134
282,62,65,183,287,290,455,357,9589,-3852,12598,1711,-75,-29,439,-2088,314,-1395
213,64,68,146,279,264,408,335,9518,-3789,12668,1729,212,-94,251,-1850,194,-1675
205,64,75,137,286,266,387,340,9517,-3692,12698,1723,493,-140,73,-2118,477,-1055
186,78,98,134,287,271,385,309,9551,-3598,12697,1740,425,-142,-64,-2203,757,-524
186,222,214,126,182,175,225,225,9599,-3567,12668,1751,189,-162,-242,-2206,453,-345
180,278,263,125,158,136,203,188,9641,-3569,12642,1709,265,-110,-432,-2158,210,-449
156,295,283,111,128,122,150,136,9670,-3569,12630,1627,475,-18,-637,-2079,417,-526
131,319,309,98,94,91,114,76,9689,-3562,12631,1518,675,28,-858,-2105,731,-683
114,333,321,84,76,66,85,75,9704,-3569,12631,1404,679,93,-1077,-2298,961,-652
99,307,277,71,62,58,62,60,9733,-3639,12595,1349,231,-5,-1309,-3139,993,-662
92,283,238,63,51,55,59,50,9796,-3773,12506,1349,-221,-187,-1520,-3485,960,-386
88,270,217,71,49,53,47,46,9848,-3993,12401,1303,-483,-65,-1598,-2948,111,-163
176,253,181,108,80,85,98,101,9871,-4286,12300,1143,-493,136,-1490,-2155,-1326,-182
215,233,148,141,111,114,123,110,9825,-4585,12249,911,-332,314,-1219,-1293,-2070,-710
285,167,110,195,122,129,175,207,9744,-4838,12231,687,-217,302,-855,-638,-2118,-1029
327,116,85,244,145,169,197,219,9669,-5045,12216,493,-147,133,-586,-453,-2057,-1168
362,107,76,261,167,179,228,260,9632,-5174,12197,336,34,-10,-275,-414,-1834,-956
354,85,61,273,191,229,241,288,9642,-5224,12170,203,242,-154,76,-500,-1803,-718
360,79,61,283,192,264,307,328,9677,-5219,12146,121,269,-225,302,-513,-1454,-476
350,81,64,343,222,309,406,401,9642,-5221,12172,193,-409,-19,529,-598,-776,-461
348,80,69,345,225,373,480,467,9522,-5311,12223,360,-1297,128,823,-431,-1312,-686
372,76,70,359,230,451,534,479,9413,-5408,12259,515,-1386,169,929,-760,-1839,-590
374,68,79,352,208,453,608,498,9387,-5480,12246,548,-850,-97,1010,-1658,-3135,-897
373,71,86,358,216,520,753,645,9552,-5290,12206,450,1071,-172,533,-2912,-1412,-32
403,79,87,282,229,606,781,661,9624,-4900,12311,457,1525,10,1400,-1609,317,-480
440,82,86,247,234,589,782,658,9580,-4596,12452,687,371,80,1262,-2128,1400,-1019
396,84,98,260,283,538,764,665,9466,-4522,12542,1034,-1127,131,925,-2534,749,-1052
380,86,106,260,338,590,737,653,9426,-4527,12545,1303,-1277,-158,941,-2556,-686,-752
365,86,116,256,366,530,586,499,9463,-4359,12559,1465,-37,12,830,-3205,213,-218
289,75,111,261,346,401,465,386,9504,-4130,12582,1647,218,176,701,-3523,1166,104
200,63,111,282,337,361,383,308,9451,-4042,12623,1850,-412,80,414,-2492,1071,-695
188,59,97,228,286,351,329,236,9355,-4072,12666,1974,-594,-46,109,-1999,336,-1534
167,51,105,216,213,200,233,176,9293,-4082,12704,2000,-110,-73,-25,-2002,112,-1536
146,60,126,174,126,139,120,116,9290,-4058,12712,2011,141,-22,-156,-2191,375,-809
133,176,257,149,94,114,108,94,9313,-4047,12693,2048,13,-32,-274,-2223,559,-398
79,198,288,91,76,89,87,71,9332,-4086,12665,2058,-81,-59,-461,-2163,316,-547
77,257,315,121,57,78,74,70,9353,-4125,12646,2000,214,-13,-614,-2138,195,-667
80,367,353,120,53,69,62,61,9384,-4143,12634,1888,554,26,-771,-2145,318,-667
96,406,377,120,46,61,57,61,9412,-4162,12624,1771,659,38,-1032,-2464,711,-807
97,378,319,118,48,67,51,55,9453,-4191,12596,1683,607,-98,-1316,-2907,1194,-919
95,371,291,117,46,70,48,49,9541,-4263,12519,1578,494,-212,-1505,-2965,842,-528
105,335,263,92,75,69,59,47,9662,-4386,12407,1372,549,-112,-1513,-2797,-390,-89
140,237,206,135,130,116,119,113,9778,-4510,12300,1081,783,-29,-1402,-2337,-1161,-76
144,182,153,145,136,125,128,116,9814,-4649,12242,795,629,158,-1176,-1496,-1346,-430
141,183,182,144,144,123,131,119,9748,-4858,12225,596,-120,379,-883,-1025,-1679,-748
167,192,212,158,159,129,136,124,9598,-5151,12227,522,-1029,367,-642,-769,-1893,-1205
279,195,214,192,187,223,218,212,9466,-5433,12208,505,-1269,148,-311,-499,-2104,-1085
278,164,213,177,175,214,208,230,9436,-5571,12170,471,-598,-233,188,-487,-2163,-873
329,141,199,187,183,234,283,275,9485,-5545,12147,412,290,-481,532,-586,-1631,-865
344,119,147,216,188,262,374,344,9566,-5421,12139,404,479,-495,892,-774,-1211,-538
363,95,98,275,197,295,486,385,9569,-5339,12170,488,-148,-292,1119,-639,-1167,-673
359,93,88,273,204,274,504,388,9500,-5358,12209,634,-874,-68,947,-980,-1308,-817
367,86,75,265,208,284,523,390,9455,-5389,12221,799,-1017,-33,811,-1362,-1236,-435
369,83,62,281,236,272,545,380,9433,-5396,12229,887,-678,30,883,-1291,-1673,-333
451,79,57,296,260,263,506,362,9439,-5335,12251,884,65,-178,909,-1953,-1899,-1131
485,88,59,261,259,262,499,424,9609,-4954,12292,677,2432,-231,816,-2757,211,-274
